importar?;polígono?;Comunidade;name;description;folder;type;geometry
não  ;;morro-do-adeus;Oficina Mecânica;Antigo ponto final da linha de Ônibus 312<br>Oficina desativada. Ocupada por uma Oficina  Mecânica.<br>Esse espaço foi vizitado pelo então, chefe de gabinete da Secretaria MUnicipal de Saúde do Municipio do Rio de Janeiro, nos anos 90, quando da atuação do então Secretário Gazzolla, para implantação do Posto de Saúde solicitado na época.<br>O Profissional deu ok em relação ao espaço. <br>Naquela ocasião a Igreja Batista Filha de Sião estava junto, reveindicando esse serviço.;Cidade de Deus - Mapa PCU;point;[u'-43.2682496610364,-22.86403290660174,0']
não  ;;morro-do-adeus;Frango Assado;Frango Assado;Cidade de Deus - Mapa PCU;point;[u'-43.26825793599332,-22.86379582566573,0']
não  ;;morro-do-adeus;Bar do Zé;Bar do Zé<br>Esse Bar é muito antigo.;Cidade de Deus - Mapa PCU;point;[u'-43.26820214916342,-22.86366052301131,0']
não  ;;morro-do-adeus;Churrasco do Zé;Churrasco do Zé Kuentro<br>Este churrasco tem um público intenso ás sextas feiras.;Cidade de Deus - Mapa PCU;point;[u'-43.26832503040937,-22.86362472308436,0']
não  ;;morro-do-adeus;Padaria Itareré;Padaria Itararé<br>Esta padaria fica na esquina da Rua Régio. Ela Fornece pão para os GARIS do Morro do Adeus.;Cidade de Deus - Mapa PCU;point;[u'-43.26818336135347,-22.8635336064923,0']
não  ;;morro-do-adeus;Pensão Comida Caseira;Pensão Comida Caseira;Cidade de Deus - Mapa PCU;point;[u'-43.26739925485119,-22.86364800545844,0']
não  ;;morro-do-adeus;Assembléia de Deus;Igreja Evangélica Assembléia de Deus Ebenezzer<br>O Pastor Florentino Dirigente desta Igreja é parceiro do Gal oferecendo os espaços físicos para eventos.;Cidade de Deus - Mapa PCU;point;[u'-43.26679896224822,-22.86368978764881,0']
não  ;;morro-do-adeus;Lavanderia Recupera;Lavanderia Recupera<br>A Recupera emprega muitas pessoas da Comunidade.;Cidade de Deus - Mapa PCU;point;[u'-43.26559440514294,-22.86379349194663,0']
N;sim;morro-do-adeus;lixo;Lixeira á céu aberto<br>Esta lixeira fica em frante o antigo Poste Preto.;Cidade de Deus - Mapa PCU;point;[u'-43.26107565625399,-22.8637546044243,0']
não  ;;morro-do-adeus;Baile Funk;Baile Funk;Cidade de Deus - Mapa PCU;point;[u'-43.26276337575396,-22.86286121655884,0']
R;sim;morro-do-adeus;Quadra de Arapá;Quadra da Arapá<br>Essa é a única quadra da Comunidade e fica na subida do Morro do Adeus.;Cidade de Deus - Mapa PCU;point;[u'-43.26229085847401,-22.8631537148302,0']
não  ;;morro-do-adeus;Assembléia de Deus;Igreja Evangélica Assembléia de Deus.<br>Esquina da Rua Régio. Antigamente esse espaço era o Armazem do seu Paulinho (falecido);Cidade de Deus - Mapa PCU;point;[u'-43.26800822339439,-22.86333020993327,0']
não  ;;morro-do-adeus;Bar do Chico;Bar do Chico;Cidade de Deus - Mapa PCU;point;[u'-43.26777433807764,-22.86281767008139,0']
não  ;;morro-do-adeus;Mercadinho;Mercadinho Soberana do Itararé<br>Foi convidade como parceiro da Nascobem. Falou que sim...;Cidade de Deus - Mapa PCU;point;[u'-43.26774446856484,-22.86268217038344,0']
R;;morro-do-adeus;Ponto de Moto Taxi;Ponto de Moto Taxi;Cidade de Deus - Mapa PCU;point;[u'-43.26757905995836,-22.86361498252859,0']
R;;morro-do-adeus;Ponto De Moto Taxi;Ponto De Moto Taxi;Cidade de Deus - Mapa PCU;point;[u'-43.25782988171076,-22.86137999718661,0']
não  ;;morro-do-adeus;Lojinha de móveis;Lojinha de móveis;Cidade de Deus - Mapa PCU;point;[u'-43.25792894920955,-22.86346229399948,0']
R;;morro-do-adeus;Ponto de kombi.;Ponto de kombi.;Cidade de Deus - Mapa PCU;point;[u'-43.25683118982283,-22.86558837192423,0']
não (E);;morro-dos-macacos, morro-do-pau-da-bandeira;feira de saúde;;Cidade de Deus - Mapa PCU;point;[u'-43.2475601725932,-22.91617404400778,0']
não (E);;morro-dos-macacos, morro-do-pau-da-bandeira;forúm comunitario;;Cidade de Deus - Mapa PCU;point;[u'-43.24437676790023,-22.91583805843842,0']
R;sim;morro-dos-macacos, morro-do-pau-da-bandeira;posto de coleta e reciclegem;;Cidade de Deus - Mapa PCU;point;[u'-43.2519735700614,-22.91383326626341,0']
não (E);;morro-dos-macacos, morro-do-pau-da-bandeira;encontro com jovens;;Cidade de Deus - Mapa PCU;point;[u'-43.25243576525003,-22.91372374841908,0']
não (E);;morro-dos-macacos, morro-do-pau-da-bandeira;articulação com a escola;;Cidade de Deus - Mapa PCU;point;[u'-43.24436720140866,-22.91573897247175,0']
não (E);;morro-dos-macacos, morro-do-pau-da-bandeira;feira de saúde e distribuição de fanzine;;Cidade de Deus - Mapa PCU;point;[u'-43.26450007551321,-22.9225170749727,0']
O;sim;morro-dos-macacos, morro-do-pau-da-bandeira;academia da terceira idade;;Cidade de Deus - Mapa PCU;point;[u'-43.25110411283042,-22.91665569525646,0']
não (E);;morro-dos-macacos, morro-do-pau-da-bandeira;distribuição de folhetos informativos;;Cidade de Deus - Mapa PCU;point;[u'-43.25083111356426,-22.91677456118835,0']
não (E);;morro-dos-macacos, morro-do-pau-da-bandeira;distribuição de fazine;;Cidade de Deus - Mapa PCU;point;[u'-43.24228016475132,-22.913148918975,0']
não  ;;morro-dos-macacos, morro-do-pau-da-bandeira;faetec;;Cidade de Deus - Mapa PCU;point;[u'-43.2397521051366,-22.91159364668534,0']
não  ;;morro-dos-macacos, morro-do-pau-da-bandeira;igreja;;Cidade de Deus - Mapa PCU;point;[u'-43.24004002415204,-22.91176777208526,0']
O;sim;morro-dos-macacos, morro-do-pau-da-bandeira;Poli Clinica;;Cidade de Deus - Mapa PCU;point;[u'-43.24218669228306,-22.90681810829849,0']
O;sim;morro-dos-macacos, morro-do-pau-da-bandeira;Abrigo AIRTON SENA;;Cidade de Deus - Mapa PCU;point;[u'-43.24242123641506,-22.90738637506873,0']
não  ;;morro-dos-macacos, morro-do-pau-da-bandeira;Convento;;Cidade de Deus - Mapa PCU;point;[u'-43.25220089658343,-22.91688785442765,0']
não  ;;morro-dos-macacos, morro-do-pau-da-bandeira;Igreja divino;;Cidade de Deus - Mapa PCU;point;[u'-43.25069415903297,-22.91749089126017,0']
não (E);;morro-dos-macacos, morro-do-pau-da-bandeira;Encontro do grupo que trabalhou na campanha da prevenção;;Cidade de Deus - Mapa PCU;point;[u'-43.24999324819312,-22.91871395596641,0']
não  ;;morro-dos-macacos, morro-do-pau-da-bandeira;super mercado extra;;Cidade de Deus - Mapa PCU;point;[u'-43.24947120722751,-22.91690809936588,0']
não (E);;morro-dos-macacos, morro-do-pau-da-bandeira;Distribuição de Fanzine;;Cidade de Deus - Mapa PCU;point;[u'-43.25244696648061,-22.92110103635426,0']
O;sim;morro-dos-macacos, morro-do-pau-da-bandeira;Ass. AMAVI;;Cidade de Deus - Mapa PCU;point;[u'-43.24961609936955,-22.91635211705508,0']
não (E);;morro-dos-macacos, morro-do-pau-da-bandeira;Reunião da prevenção;;Cidade de Deus - Mapa PCU;point;[u'-43.24965796648001,-22.9163528085187,0']
não (E);;morro-dos-macacos, morro-do-pau-da-bandeira;mobilição da comunidade;;Cidade de Deus - Mapa PCU;point;[u'-43.26019391789865,-22.91601187114847,0']
não (E);;morro-dos-macacos, morro-do-pau-da-bandeira;Distribuição de Fanzine;;Cidade de Deus - Mapa PCU;point;[u'-43.24979350870833,-22.91236949991331,0']
O;sim;morro-dos-macacos, morro-do-pau-da-bandeira;Escola João Gulard;;Cidade de Deus - Mapa PCU;point;[u'-43.25269904891868,-22.92134432474609,0']
não  ;;morro-dos-macacos, morro-do-pau-da-bandeira;Padaria;;Cidade de Deus - Mapa PCU;point;[u'-43.24850553781007,-22.91208906861817,0']
não  ;;morro-dos-macacos, morro-do-pau-da-bandeira;padaria;;Cidade de Deus - Mapa PCU;point;[u'-43.25468333333333,-22.91549037958543,0']
R;sim;morro-dos-macacos, morro-do-pau-da-bandeira;Lan House;;Cidade de Deus - Mapa PCU;point;[u'-43.24965759152338,-22.91239150469358,0']
R;sim;morro-dos-macacos, morro-do-pau-da-bandeira;futebol;;Cidade de Deus - Mapa PCU;point;[u'-43.24821001236806,-22.91193067860414,0']
não (E);;morro-dos-macacos, morro-do-pau-da-bandeira;divulgação no jornal Vila em foco;;Cidade de Deus - Mapa PCU;point;[u'-43.24371328536216,-22.91551928040308,0']
R;sim;morro-dos-macacos, morro-do-pau-da-bandeira;Pista de Skate;;Cidade de Deus - Mapa PCU;point;[u'-43.25166124520819,-22.91473669960953,0']
não (E);;morro-dos-macacos, morro-do-pau-da-bandeira;Distribuição de fanzine;;Cidade de Deus - Mapa PCU;point;[u'-43.25157533084186,-22.91492526142373,0']
não (E);;morro-dos-macacos, morro-do-pau-da-bandeira;Visita a morada da Esperança;;Cidade de Deus - Mapa PCU;point;[u'-43.26198834837774,-22.91734840788371,0']
O;sim;morro-dos-macacos, morro-do-pau-da-bandeira;Posto de Prevenção de DST´S;;Cidade de Deus - Mapa PCU;point;[u'-43.25050674317725,-22.91732261005581,0']
O;sim;morro-dos-macacos, morro-do-pau-da-bandeira;UPP SOCIAL;;Cidade de Deus - Mapa PCU;point;[u'-43.25888204933473,-22.91388743732013,0']
O;sim;morro-dos-macacos, morro-do-pau-da-bandeira;posto de coleta de sangue. bentinho;;Cidade de Deus - Mapa PCU;point;[u'-43.23753894438998,-22.91438705814692,0']
não  ;;morro-dos-macacos, morro-do-pau-da-bandeira;lojas america;;Cidade de Deus - Mapa PCU;point;[u'-43.23839157081731,-22.91417067359209,0']
não (E);;morro-dos-macacos, morro-do-pau-da-bandeira;Distribuição de Fanzine;;Cidade de Deus - Mapa PCU;point;[u'-43.24861866331183,-22.91180963625502,0']
R;sim;morro-dos-macacos, morro-do-pau-da-bandeira;GAL Sempre Unidos II;;Cidade de Deus - Mapa PCU;point;[u'-43.25265093233367,-22.91323492845057,0']
não  ;;morro-dos-macacos, morro-do-pau-da-bandeira;Pintinho de Ouro;;Cidade de Deus - Mapa PCU;point;[u'-43.25257281382694,-22.91515030427848,0']
não  ;;morro-dos-macacos, morro-do-pau-da-bandeira;Escola João Fredo;;Cidade de Deus - Mapa PCU;point;[u'-43.23835885083209,-22.91526155537881,0']
O;sim;morro-dos-macacos, morro-do-pau-da-bandeira;Creche da Funlar;;Cidade de Deus - Mapa PCU;point;[u'-43.24797201238076,-22.91184345780896,0']
O;sim;morro-dos-macacos, morro-do-pau-da-bandeira;Creche da Dinda;;Cidade de Deus - Mapa PCU;point;[u'-43.25489376447638,-22.91433637009564,0']
O;sim;morro-dos-macacos, morro-do-pau-da-bandeira;E.M. Republica da Argentina;tem grande ferquentação de alunos e pais por fucionar de dia ea noite <br><br>se localisa na Rua: Boulervard 28 de Setenbro,353;Cidade de Deus - Mapa PCU;point;[u'-43.23845142038496,-22.91462264952096,0']
O;sim;morro-dos-macacos, morro-do-pau-da-bandeira;Cerche Germinal da Vila;Rua: PETROCOCHINO NUMERO 73;Cidade de Deus - Mapa PCU;point;[u'-43.25561750815445,-22.91404787871895,0']
O;sim;morro-dos-macacos, morro-do-pau-da-bandeira;E. M. Equador;fuciona de manhã ea tarde do seisto ano mao nono, a noite do primeiro ano ao terceiro ano<br><br>se localiza na Rua: boul  28 de setembro, 353;Cidade de Deus - Mapa PCU;point;[u'-43.24440696291018,-22.91574027383615,0']
R;sim;morro-dos-macacos, morro-do-pau-da-bandeira;Posto de Saúde;;Cidade de Deus - Mapa PCU;point;[u'-43.25318857095064,-22.91645610542357,0']
O;sim;morro-dos-macacos, morro-do-pau-da-bandeira;Hospital do Andarai;tem uma grade procura pela população  de comunidade <br><br>se localiza na Rua: Gastão Penalva;Cidade de Deus - Mapa PCU;point;[u'-43.25264161995391,-22.92818811653271,0']
O;sim;morro-dos-macacos, morro-do-pau-da-bandeira;Hospital Pedro Hernesto;possui marternidadade;Cidade de Deus - Mapa PCU;point;[u'-43.23724152864347,-22.91454626813301,0']
O;sim;morro-dos-macacos, morro-do-pau-da-bandeira;Ass. de moradores;;Cidade de Deus - Mapa PCU;point;[u'-43.25239072562119,-22.91378990346279,0']
O;sim;morro-dos-macacos, morro-do-pau-da-bandeira;Escola de Samba de Vila Isabel;tem algumas obras socias   muito frequenta pela comunidade;Cidade de Deus - Mapa PCU;point;[u'-43.24890253397603,-22.91627719253666,0']
O;sim;morro-dos-macacos, morro-do-pau-da-bandeira;Centro Cultural Pão de Açucar;o ferece diversos cursos , de desenho pintura, aula de dança, axé hip hop etc...;Cidade de Deus - Mapa PCU;point;[u'-43.24509581623013,-22.91919817871803,0']
não  ;;morro-dos-macacos, morro-do-pau-da-bandeira;lazer;lazer;Cidade de Deus - Mapa PCU;point;[u'-43.24240198531575,-22.91317148392834,0']
R;;morro-dos-macacos, morro-do-pau-da-bandeira;moto taxi;moto taxi;Cidade de Deus - Mapa PCU;point;[u'-43.25022117905787,-22.91707424721026,0']
R;;morro-dos-macacos, morro-do-pau-da-bandeira;transporte;transporte;Cidade de Deus - Mapa PCU;point;[u'-43.24206008270303,-22.91316697707207,0']
não  ;;morro-dos-macacos, morro-do-pau-da-bandeira;unibanco;unibanco;Cidade de Deus - Mapa PCU;point;[u'-43.24412945495234,-22.91565567792732,0']
não  ;;morro-dos-macacos, morro-do-pau-da-bandeira;mini mercado marataizes;mini mercado marataizes;Cidade de Deus - Mapa PCU;point;[u'-43.2544331436291,-22.91549704873743,0']
não  ;;morro-dos-macacos, morro-do-pau-da-bandeira;Shopping;diversas lojas para o consumidos grande pono de encontro e passeio da comunidade;Cidade de Deus - Mapa PCU;point;[u'-43.24993189101659,-22.91877452550128,0']
não  ;;morro-dos-macacos, morro-do-pau-da-bandeira;Associação da Igreja Metodista;associação da igreja metodista<br>realiza obras socias para crianças infanto juvel da comunidade de seg, sext de manhã e a tearde<br><br>se localiza na Rua: boul 28 de Setembro ,400;Cidade de Deus - Mapa PCU;point;[u'-43.24936043000423,-22.91625906380294,0']
R;sim;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;GAL Republica Imperial;Complexos do Caju;Cidade de Deus - Mapa PCU;point;[u'-43.22470961661782,-22.8791462130501,0']
O;sim;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;Creche Mun. Senninha;Unidade Escolar: E/SUBE/CRE(01.01.603) - Creche Municipal Senninha - 18763 <br>Diretor: ELNIRA PEREIRA<br> <br>Endereço: Travessa Mangueira - Parque Boa Esperança S/N°  <br>Bairro: Caju <br>Cep: 20931-001 <br>Telefone: 3895-3384<br> <br>E-mail:  <br>   <br>Característica: Horário Parcial com 1 turno <br>Quantidade de Salas: 6 <br>Turnos: Horário Integral<br> <br>Série Quantidade de Alunos <br>Ed. Infantil - Creche 141;Cidade de Deus - Mapa PCU;point;[u'-43.22865131110739,-22.88303772968873,0']
O;sim;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;Cr. Mun. Ladeira Funcionários;Unidade Escolar: E/SUBE/CRE(01.01.601) - Creche Municipal Ladeira dos Funcionários - 17903 <br>Diretor: DIVINA SABINO RAMOS<br> <br>Endereço: Rua Carlos Seidl - Ladeira dos Funcionários 1.281  <br>Bairro: Caju <br>Cep: 20931-004 <br>Telefone: 2580-3468<br> <br>E-mail:  <br>   <br>Característica: Horário Parcial com 1 turno <br>Quantidade de Salas: 7 <br>Turnos: Horário Integral<br> <br>Série;Cidade de Deus - Mapa PCU;point;[u'-43.22412059805123,-22.879443104987,0']
O;sim;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;Cr. Mun. Sempre Vida;Unidade Escolar: E/SUBE/CRE(01.01.604) - Creche Municipal Sempre Vida P. Conquista - 18759 <br>Diretor: RUTE ALBANITA DA SILVA LOPES FERREIRA<br> <br>Endereço: Rua Carlos Seidl - Parque Conquista 950 Fundos <br>Bairro: Caju <br>Cep: 20931-001 <br>Telefone: 3895-3383<br> <br>E-mail:  <br>   <br>Característica: Horário Parcial com 1 turno <br>Quantidade de Salas: 2 <br>Turnos: Horário Integral<br> <br>Série Quantidade de Alunos <br>Ed. Infantil - Creche 50 <br><br>--------------------------------------------------------------------------------;Cidade de Deus - Mapa PCU;point;[u'-43.22646434638403,-22.87787677753796,0']
O;sim;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;Cr. Mun. Clemente Ferreira;Unidade Escolar: E/SUBE/CRE(01.01.605) - Creche Municipal Clemente Ferreira - 18668 <br>Diretor: HELENA SILVEIRA VIEIRA<br> <br>Endereço: Rua Carlos Seidl - V. Clemente Ferreira 813  <br>Bairro: Caju <br>Cep: 20931-002 <br>Telefone: 2587-1981<br> <br>E-mail:  <br>   <br>Característica: Horário Parcial com 1 turno <br>Quantidade de Salas: 4 <br>Turnos: Horário Integral<br> <br>Série Quantidade de Alunos <br>Ed. Infantil - Creche 85;Cidade de Deus - Mapa PCU;point;[u'-43.22253769993968,-22.8762081958492,0']
O;sim;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;C.E. Olavo Bilac;;Cidade de Deus - Mapa PCU;point;[u'-43.22444112914001,-22.89254910824787,0']
O;sim;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;Ciep Min. Gustavo Capanema;Unidade Escolar: E/SUBE/CRE(04.30.201) - Ciep Ministro Gustavo Capanema - 11579 <br>Diretor: ELIANE FERREIRA SILVA<br> <br>Endereço: Via A1 - Setor Pinheiro   <br>Bairro: Bonsucesso <br>Cep: 21040-080 <br>Telefone: 2290-0588<br>2230-3835<br> <br>E-mail: ciepgustavo@rio.rj.gov.br <br>   <br>Característica: Horário Parcial com 1 turno <br>Quantidade de Salas: 27 <br>Turnos: PEJ<br>1º. Turno<br>2º. Turno<br> <br>Série Quantidade de Alunos <br>Ciclo de Formação - Período Final 207 <br>Ciclo de Formação - Período Inicial 174 <br>Ciclo de Formação - Período Intermediário 171 <br>Classe Especial 12 <br>Ed. Infantil - Pré-Escola 298 <br>PEJ 1 Bloco 1 71 <br>PEJ 1 Bloco 2 89 <br>PEJ 2 Bloco 1 71 <br>PEJ 2 Bloco 2 79 <br>4º Ano 119 <br>5º Ano 108 <br><br>--------------------------------------------------------------------------------;Cidade de Deus - Mapa PCU;point;[u'-43.23807652815736,-22.86922265864957,0']
O;sim;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;EM Teotonio Vilela;Unidade Escolar: E/SUBE/CRE(04.30.002) - Escola Municipal Teotonio Vilela - 11590 <br>Diretor: BARBARA SUELY DE FREITAS NEPOMUCENO<br> <br>Endereço: Rua Manoel Falcão , S/Nº   <br>Bairro: Manguinhos <br>Cep: 21041-610 <br>Telefone: 2280-3816<br>2561-4214<br> <br>E-mail: emvillela@rio.rj.gov.br <br>   <br>Característica: Horário Parcial com 1 turno <br>Quantidade de Salas: 31 <br>Turnos: 1º. Turno<br>2º. Turno<br> <br>Série Quantidade de Alunos <br>Ciclo de Formação - Período Final 180 <br>Ciclo de Formação - Período Inicial 179 <br>Ciclo de Formação - Período Intermediário 150 <br>Classe Especial 15 <br>Ed. Infantil - Pré-Escola 281 <br>4º Ano 113 <br>5º Ano 180 <br>6º Ano 250 <br>7º Ano 178 <br>8º Ano 126 <br>9º Ano 140 <br><br>--------------------------------------------------------------------------------;Cidade de Deus - Mapa PCU;point;[u'-43.23863241122579,-22.87639864160907,0']
O;sim;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;EM Profª Laura S.M. Pereira;Unidade Escolar: E/SUBE/CRE(01.01.010) - Escola Municipal Professora Laura Sylvia Mendes Pereira - 11231 <br>Diretor: RITA DE CASSIA CANO ROMANO<br> <br>Endereço: Rua Gal. Sampaio 71  <br>Bairro: Caju <br>Cep: 20931-001 <br>Telefone: 3860-1088<br>2580-6881<br> <br>E-mail: emppereira@rio.rj.gov.br <br>   <br>Característica: Horário Parcial com 1 turno <br>Quantidade de Salas: 6 <br>Turnos: 1º. Turno<br>2º. Turno<br> <br>Série Quantidade de Alunos <br>Ciclo de Formação - Período Final 58 <br>Ciclo de Formação - Período Inicial 59 <br>Ciclo de Formação - Período Intermediário 62 <br>Ed. Infantil - Pré-Escola 150 <br><br>--------------------------------------------------------------------------------;Cidade de Deus - Mapa PCU;point;[u'-43.21637460171965,-22.87786932800312,0']
